"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/17/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/16/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/15/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/14/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/13/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/12/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/11/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/10/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/09/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/08/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"09/07/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"09/06/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/05/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/04/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"09/03/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/02/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"09/01/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/31/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/30/2016","8.8800","8.8800","8.8800","8.8788","","0.00%"
"08/29/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/28/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/27/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/26/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/25/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/24/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"08/23/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/22/2016","8.8800","8.8750","8.8800","8.8750","","0.00%"
"08/21/2016","8.8800","8.8750","8.8800","8.8750","","0.00%"
"08/20/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/19/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/18/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/17/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/16/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/15/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/14/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/13/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/12/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/11/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/10/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/09/2016","8.8800","8.8800","8.8800","8.8788","","0.00%"
"08/08/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/07/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/06/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/05/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/04/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/03/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"08/02/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"08/01/2016","8.8800","8.8800","8.8800","8.8788","","0.00%"
"07/31/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/30/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/29/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/28/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/27/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/26/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/25/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/24/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/23/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/22/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/21/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/20/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/19/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"07/18/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/17/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/16/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/15/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/14/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/13/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/12/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"07/11/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/10/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/09/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/08/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/07/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/06/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/05/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/04/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/03/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"07/02/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"07/01/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/30/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/29/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/28/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/27/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/26/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"06/25/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/24/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/23/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"06/22/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"06/21/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/20/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/19/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"06/18/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/17/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/16/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"06/15/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/14/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/13/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/12/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/11/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/10/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/09/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/08/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/07/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/06/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"06/05/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"06/04/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/03/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"06/02/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"06/01/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/31/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/30/2016","8.8799","8.8800","8.8800","8.8799","","0.00%"
"05/29/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/28/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/27/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/26/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/25/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/24/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/23/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/22/2016","8.8800","8.8750","8.8800","8.8750","","0.00%"
"05/21/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/20/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/19/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/18/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"05/17/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/16/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"05/15/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/14/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/13/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/12/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/11/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/10/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/09/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/08/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/07/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/06/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/05/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/04/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/03/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"05/02/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"05/01/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/30/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/29/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/28/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/27/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/26/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/25/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/24/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"04/23/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/22/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/21/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/20/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/19/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/18/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/17/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/16/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/15/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/14/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/13/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/12/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/11/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/10/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/09/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/08/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/07/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/06/2016","8.8800","8.8799","8.8800","8.8799","","0.00%"
"04/05/2016","8.8800","8.8800","8.9500","8.8799","","0.00%"
"04/04/2016","8.8799","8.8800","8.8800","8.8799","","0.00%"
"04/03/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"04/02/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"04/01/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"03/31/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"03/30/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"03/29/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"03/28/2016","8.8800","8.9500","8.9500","8.8799","","0.00%"
"03/27/2016","8.8800","8.8800","8.8800","8.8750","","0.00%"
"03/26/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"03/25/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"03/24/2016","8.8800","8.8800","8.9500","8.8750","","0.00%"
"03/23/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"03/22/2016","8.8800","8.8799","8.8800","8.8750","","0.00%"
"03/21/2016","8.8799","8.8800","8.8800","8.8799","","0.00%"
"03/20/2016","8.8800","8.8800","8.8800","8.8799","","0.00%"
"03/19/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"03/18/2016","8.8800","8.8800","8.8800","8.8800","","0.00%"
"03/17/2016","8.8800","8.8800","8.8899","8.8775","","0.00%"
"03/16/2016","8.8800","8.9500","8.9500","8.8800","","-0.78%"
"03/15/2016","8.9500","8.9500","8.9501","8.9499","","0.00%"
"03/14/2016","8.9500","7.8300","8.9501","7.8300","","14.30%"
"03/13/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"03/12/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"03/11/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"03/10/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"03/09/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"03/08/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"03/07/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"03/06/2016","7.8301","7.8300","7.8301","7.8300","","0.00%"
"03/05/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"03/04/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"03/03/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"03/02/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"03/01/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/29/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/28/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/27/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/26/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/25/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/24/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/23/2016","7.8301","7.8300","7.8301","7.8300","","0.00%"
"02/22/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/21/2016","7.8301","7.8300","7.8301","7.8300","","0.00%"
"02/20/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/19/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/18/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/17/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/16/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/15/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/14/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/13/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/12/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/11/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/10/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/09/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/08/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/07/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/06/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/05/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"02/04/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/03/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/02/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"02/01/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/31/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/30/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/29/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/28/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/27/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/26/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/25/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/24/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/23/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/22/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/21/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/20/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/19/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/18/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/17/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/16/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/15/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/14/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/13/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/12/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/11/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/10/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/09/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/08/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/07/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/06/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/05/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/04/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/03/2016","7.8301","7.8301","7.8301","7.8300","","0.00%"
"01/02/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"01/01/2016","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/31/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/30/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/29/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/28/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/27/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/26/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/25/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/24/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/23/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/22/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/21/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/20/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/19/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/18/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/17/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/16/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/15/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/14/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/13/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/12/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/11/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/10/2015","7.8301","7.8300","7.8301","7.8300","","0.00%"
"12/09/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/08/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/07/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/06/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/05/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/04/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"12/03/2015","7.8301","7.8301","7.8301","7.8251","","0.00%"
"12/02/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"12/01/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/30/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/29/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/28/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"11/27/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"11/26/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/25/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/24/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"11/23/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/22/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/21/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"11/20/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"11/19/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/18/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/17/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/16/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/15/2015","7.8301","7.8301","8.0300","7.8300","","0.00%"
"11/14/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"11/13/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"11/12/2015","7.8301","7.8301","7.8301","7.8300","","0.00%"
"11/11/2015","7.8301","8.0300","8.0300","7.8300","","-2.49%"
"11/10/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/09/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/08/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/07/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/06/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/05/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/04/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/03/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/02/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"11/01/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/31/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/30/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/29/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/28/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/27/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/26/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/25/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/24/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/23/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/22/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/21/2015","8.0300","8.0300","8.0300","8.0300","","0.00%"
"10/20/2015","8.0300","8.0300","8.0305","7.9301","","0.00%"
"10/19/2015","8.0300","8.0300","8.0305","8.0300","","0.00%"
"10/18/2015","8.0300","7.9301","8.0300","7.9201","","1.26%"
"10/17/2015","7.9301","7.9301","7.9301","7.9301","","0.00%"
"10/16/2015","7.9301","7.9301","7.9301","7.9301","","0.00%"
"10/15/2015","7.9301","7.8301","7.9301","7.8201","","1.28%"
"10/14/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/13/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/12/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/11/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/10/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/09/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/08/2015","7.8301","7.8301","7.8301","7.8277","","0.00%"
"10/07/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/06/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/05/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/04/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/03/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/02/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"10/01/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/30/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/29/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/28/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/27/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"09/26/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"09/25/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"09/24/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"09/23/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"09/22/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/21/2015","7.8301","7.8301","7.8301","7.8251","","0.00%"
"09/20/2015","7.8301","7.8301","7.8301","7.8276","","0.03%"
"09/19/2015","7.8276","7.8276","7.8276","7.8276","","0.00%"
"09/18/2015","7.8276","7.8276","7.8276","7.8276","","0.00%"
"09/17/2015","7.8276","7.8301","7.8301","7.8276","","-0.03%"
"09/16/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/15/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/14/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/13/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/12/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"09/11/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"09/10/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/09/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/08/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"09/07/2015","7.8301","7.8301","7.8301","7.8251","","0.03%"
"09/06/2015","7.8276","7.8301","7.8301","7.8276","","0.00%"
"09/05/2015","7.8276","7.8276","7.8276","7.8276","","0.00%"
"09/04/2015","7.8276","7.8276","7.8276","7.8276","","0.00%"
"09/03/2015","7.8276","7.8301","7.8301","7.8276","","-0.03%"
"09/02/2015","7.8301","7.8301","7.8302","7.8276","","0.03%"
"09/01/2015","7.8276","7.8301","7.8301","7.8276","","-0.03%"
"08/31/2015","7.8301","7.8301","7.8301","7.8251","","0.00%"
"08/30/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"08/29/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"08/28/2015","7.8301","7.8301","7.8301","7.8301","","0.00%"
"08/27/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"08/26/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"08/25/2015","7.8301","7.8301","7.8301","7.8276","","0.00%"
"08/24/2015","7.8301","7.8301","7.8301","7.8276","","0.03%"
"08/23/2015","7.8276","7.8301","7.8301","7.8276","","0.00%"
"08/22/2015","7.8276","7.8276","7.8276","7.8276","","0.00%"
"08/21/2015","7.8276","7.8276","7.8276","7.8276","","0.00%"
"08/20/2015","7.8276","7.8301","7.8301","7.8276","","-0.03%"
"08/19/2015","7.8301","7.8301","7.8301","7.8276","","0.03%"
"08/18/2015","7.8276","7.8301","7.8301","7.8276","","-0.03%"
"08/17/2015","7.8301","7.8301","7.8301","7.8276","","0.03%"
